hid;bez;lat;lng;coordinate
10115;S Wollankstr. (Berlin);52.564.974.000.000;13.393.150.000.000;01010000008F8B6A1151484A4045D8F0F44AC92A40
10116;S Wollankstr./Sternstr. (Berlin);52.565.352.000.000;13.391.540.000.000;0101000000355D4F745D484A40D5264EEE77C82A40
10117;S Wuhlheide (Berlin);52.469.058.000.000;13.553.527.000.000;0101000000ADF6B0170A3C4A40EFE714E4671B2B40
10118;S Zehlendorf (Berlin);52.431.209.000.000;13.259.227.000.000;0101000000D55E44DB31374A40FA7ABE66B9842A40
10119;S+U Alexanderplatz Bhf (Berlin);52.521.512.000.000;13.411.267.000.000;01010000005C3CBCE7C0424A401BD9959691D22A40
10120;S+U Alexanderplatz Bhf/Dircksenstr. (Berlin);52.521.827.000.000;13.411.233.000.000;0101000000BC95253ACB424A406A12BC218DD22A40
10121;S+U Alexanderplatz Bhf/Gontardstr. (Berlin);52.521.063.000.000;13.411.252.000.000;0101000000EC134031B2424A4045D4449F8FD22A40
10122;S+U Berlin Hauptbahnhof;52.525.847.000.000;13.368.924.000.000;010100000090D959F44E434A40446B459BE3BC2A40
10123;S+U Berlin Hauptbahnhof (tief);52.525.042.000.000;13.369.386.000.000;01010000006283859334434A4055336B2920BD2A40
10124;S+U Brandenburger Tor (Berlin);52.516.511.000.000;13.381.937.000.000;01010000001B834E081D424A40C443183F8DC32A40
10125;S+U Brandenburger Tor/Glinkastr. (Berlin);52.516.702.000.000;13.384.094.000.000;01010000008FE3874A23424A40FD2D01F8A7C42A40
10126;S+U Bundesplatz (Berlin);52.477.366.000.000;13.329.149.000.000;0101000000761C3F541A3D4A40AF05BD3786A82A40
10127;S+U Frankfurter Allee (Berlin);52.513.613.000.000;13.475.300.000.000;010100000075E61E12BE414A40DE9387855AF32A40
10128;S+U Friedrichstr. Bhf (Berlin);52.520.270.000.000;13.387.153.000.000;0101000000828B153598424A40B91803EB38C62A40
10129;S+U Gesundbrunnen Bhf (Berlin);52.548.637.000.000;13.388.372.000.000;01010000001230BABC39464A403E5DDDB1D8C62A40
10130;S+U Heidelberger Platz (Berlin);52.479.446.000.000;13.311.843.000.000;010100000059198D7C5E3D4A401AF9BCE2A99F2A40
10131;S+U Hermannstr. (Berlin);52.467.181.000.000;13.431.704.000.000;010100000002284696CC3B4A40D21A834E08DD2A40
